Time,Node A,Node B,Node C,Node D,Node E,Node F
2021-01-03 14:00:00,12799708378.0,10305549710.0,26588.65941,32201217.32,50654553.82,1104210.522
2021-01-03 15:00:00,12371682871.0,9625237556.0,82914957.55,24709668.02,54041142.4,1395849.38
2021-01-03 16:00:00,14129543218.0,8066511926.0,81682.90743,23459504.38,31244555.08,1136408.751
2021-01-03 17:00:00,12715450176.0,8138630328.0,18057.34434,37749749.05,90707476.41,1108901.793
2021-01-03 18:00:00,10051864925.0,8140702553.0,15129.33549,28648126.83,67834196.63,1103398.795
2021-01-03 19:00:00,9736240579.0,9174994273.0,119456690.1,30300395.53,73569270.93,1152905.463
2021-01-03 20:00:00,8433773166.0,8930284478.0,85821321.69,45524765.32,59747334.7,1188839.854
2021-01-03 21:00:00,8395499932.0,6613236204.0,233633.9868,38975006.49,66727768.97,1300604.983
2021-01-03 22:00:00,12076211888.0,13817042570.0,15275.14514,50112490.32,103831012.9,1111097.403
2021-01-03 23:00:00,13904389812.0,6697924305.0,84976653.03,45378624.53,84018488.28,927943.8675
2021-01-04 00:00:00,12937598396.0,3862292366.0,23246890.09,28146689.57,68185562.03,883640.0783
2021-01-04 01:00:00,14423532109.0,759798173.8,196559.8646,101293842.3,14450126.67,839305.2704
2021-01-04 02:00:00,18394368159.0,1375923597.0,82782287.42,230693036.6,19665297.87,855648.5521
2021-01-04 03:00:00,19769140989.0,918347041.9,119612814.2,286081436.9,13082720.57,884598.814
2021-01-04 04:00:00,20252888989.0,1216710938.0,53786238.97,102983298.0,9339921.567,2329566.951
2021-01-04 05:00:00,17429120153.0,1034058821.0,35849422.31,54026039.51,13097036.44,2243968.712
2021-01-04 06:00:00,15238176730.0,447885198.4,75689899.37,48694367.37,49333380.02,817559.5918
2021-01-04 07:00:00,12973128848.0,575655304.2,82780449.15,53324960.93,13998328.22,833088.3153
2021-01-04 08:00:00,12377825763.0,1266338350.0,198004.7777,70260573.92,13832104.76,820052.5086
2021-01-04 09:00:00,11937240529.0,1827207402.0,47537937.26,57142386.11,51818143.41,884051.6637
2021-01-04 10:00:00,12589284361.0,4903294697.0,16292.42687,54828306.12,7922460.047,863243.32
2021-01-04 11:00:00,12867008434.0,7503133648.0,171594001.1,47224032.28,54147597.45,842434.8174
2021-01-04 12:00:00,14257682054.0,6232995333.0,111128.2084,60642501.28,50473822.49,877597.4014
2021-01-04 13:00:00,13047184175.0,11913737779.0,15504.32479,48132021.2,19586969.12,918656.4919
2021-01-04 14:00:00,19841255766.0,3193906314.0,15515.09413,73794365.85,40815724.21,3868900.562
2021-01-04 15:00:00,22660530552.0,11721705070.0,37659206.64,32266548.94,47424460.9,7033822.165
2021-01-04 16:00:00,22563023187.0,7804973472.0,107189.6809,27413031.74,56313425.46,6795101.715
2021-01-04 17:00:00,9046195250.0,1554353121.0,15476.9766,24257416.94,60066345.59,6886949.078
2021-01-04 18:00:00,8320171175.0,1014734333.0,65352.6309,40433508.14,54673263.38,6714926.601
2021-01-04 19:00:00,9549849049.0,701401736.2,50284100.75,24427492.43,92058433.04,6860624.81
2021-01-04 20:00:00,8685642606.0,5879411342.0,37640800.22,29211550.94,59714547.51,6857107.408
2021-01-04 21:00:00,9405122557.0,5956009999.0,37699299.5,30073180.09,136445823.9,6746309.46
2021-01-04 22:00:00,11259022414.0,1588824974.0,15286.13306,13858261.72,82539221.97,6803990.228
2021-01-04 23:00:00,19453481629.0,2114582492.0,80933963.58,5304210.281,49748923.28,6813821.085
2021-01-05 00:00:00,14044204520.0,2772624415.0,44428.22429,83115509.08,70272169.99,6620737.051
2021-01-05 01:00:00,17057476575.0,3670959039.0,115151.5567,215154527.5,11855651.4,6728661.243
2021-01-05 02:00:00,17380431016.0,13039059399.0,51213588.62,161757257.8,17065848.74,6738226.389
2021-01-05 03:00:00,23801839145.0,14881283143.0,38117168.8,165806940.4,28559713.06,6703180.566
2021-01-05 04:00:00,11301325063.0,15476547546.0,53359.54139,47584245.91,64854227.36,8426435.469
2021-01-05 05:00:00,9466593626.0,7922312961.0,46622247.5,60408697.81,14004036.04,8025213.445
2021-01-05 06:00:00,8619336314.0,7658511834.0,43037218.66,54798420.7,12439439.95,6695615.05
2021-01-05 07:00:00,8873788381.0,7077084772.0,15163.28556,58186102.99,51874826.69,6707837.681
2021-01-05 08:00:00,8685837659.0,9442753264.0,38196471.93,64865599.41,8462539.454,6697551.038
2021-01-05 09:00:00,8861350703.0,9737951924.0,37231060.83,64323176.24,13605805.16,6767269.071
2021-01-05 10:00:00,9700215831.0,12199153151.0,42120823.38,32024573.23,152051224.7,6777045.692
2021-01-05 11:00:00,8717096713.0,11301184832.0,44838654.11,26782962.52,14579998.03,6663961.847
2021-01-05 12:00:00,8433880031.0,11380603131.0,131267.0891,4418632.242,9399354.081,6738950.873
2021-01-05 13:00:00,8310552459.0,11902392924.0,36914991.67,17845335.58,47588505.95,6763766.699
2021-01-05 14:00:00,11723196404.0,11153886715.0,44720.59951,21450358.53,7003907.463,6805559.255
2021-01-05 15:00:00,17689470152.0,9320047422.0,15230.72753,11757908.63,11404324.54,7034484.582
2021-01-05 16:00:00,14504203107.0,10270334565.0,15708.65184,18514950.07,55759921.95,6808830.677
2021-01-05 17:00:00,15403634310.0,11651471159.0,19599711.23,18617479.85,16310174.74,6784583.157
2021-01-05 18:00:00,15568671969.0,11327939309.0,43109258.02,18484729.96,12246905.98,6769283.279
2021-01-05 19:00:00,14665047417.0,10695340227.0,43064470.06,5961171.062,19272347.82,6746575.121
2021-01-05 20:00:00,13230093506.0,8581384120.0,43192970.48,16786013.1,11858344.77,6695829.65
2021-01-05 21:00:00,14768094251.0,5329708023.0,37752414.42,21817549.42,54758316.97,6764113.092
2021-01-05 22:00:00,12788469561.0,5580532040.0,56171.51146,24118633.19,52689283.3,6650938.295
2021-01-05 23:00:00,10163713497.0,3035262264.0,22584094.64,18363822.24,6680544.19,6328119.096
2021-01-06 00:00:00,14844456178.0,4084780873.0,14785.61907,29769698.18,6719760.6,2893499.965
2021-01-06 01:00:00,17800112222.0,2382636488.0,43178995.01,48550272.72,7584875.141,794767.0614
2021-01-06 02:00:00,15604283043.0,2800724422.0,37556297.53,61861138.25,7569745.366,797078.1299
2021-01-06 03:00:00,10817335015.0,6494783412.0,48562883.64,47840074.7,51111304.36,790806.7989
2021-01-06 04:00:00,12147571934.0,7645531583.0,14623.18757,59264099.19,18168503.72,2308743.011
2021-01-06 05:00:00,13121150896.0,6238094123.0,14779.52698,64773538.72,11662471.23,2138034.331
2021-01-06 06:00:00,11601809808.0,5786623683.0,61839.93333,55490960.87,14501224.21,782138.7651
2021-01-06 07:00:00,11201568938.0,6311032950.0,78955611.73,119519246.0,9089123.87,788499.747
2021-01-06 08:00:00,10703818095.0,13118841837.0,38103771.26,178888978.2,8271068.11,788303.2356
2021-01-06 09:00:00,11724203714.0,2014751761.0,38143594.48,203054554.6,50993679.97,795627.357
2021-01-06 10:00:00,11242828862.0,1798851913.0,43408.30434,134337225.6,13630128.12,804166.6694
2021-01-06 11:00:00,10642638851.0,1694979643.0,134388.3058,193626326.6,95605321.48,794706.5612
2021-01-06 12:00:00,13578307552.0,1999459755.0,68965899.71,194960104.3,7723140.802,787893.3801
2021-01-06 13:00:00,14645174223.0,1635904050.0,14734.59292,112787191.5,6052543.076,783002.6699
2021-01-06 14:00:00,17419308635.0,1898101222.0,14772852.21,78773886.08,47832155.22,792024.2401
2021-01-06 15:00:00,17321755531.0,2611770088.0,15243.63372,75519474.42,5452019.109,899322.5944
2021-01-06 16:00:00,16740072964.0,2171930336.0,37244850.61,70168384.41,45263257.96,789786.8365
2021-01-06 17:00:00,19983125689.0,2454245995.0,55546.80174,216291699.1,6343022.928,789359.9646
2021-01-06 18:00:00,14463600593.0,4958115328.0,43637109.81,184696847.1,16024719.09,794858.822
2021-01-06 19:00:00,10813710890.0,1224184691.0,44577482.65,212787365.3,33746234.42,794437.1612
2021-01-06 20:00:00,12954309921.0,8383164562.0,15335.61875,115714911.8,10428572.48,796218.7286
2021-01-06 21:00:00,12262574223.0,7253909092.0,27171.36222,134673178.5,9863181.458,788469.0475
2021-01-06 22:00:00,12407410974.0,6727261729.0,36912360.44,133730316.4,7876561.911,780218.2336
2021-01-06 23:00:00,10084741237.0,8117100261.0,99426.56066,120622354.1,44473240.61,793446.1232
2021-01-07 00:00:00,17571346620.0,7057392005.0,14634.03351,102451939.3,17218347.22,779055.5862
2021-01-07 01:00:00,18114376177.0,8637488141.0,42811347.48,103311693.4,6548936.843,787787.9622
2021-01-07 02:00:00,20581097339.0,9162235985.0,38593631.18,115819548.6,11434446.02,786827.4115
2021-01-07 03:00:00,20065427512.0,5730392408.0,81107625.85,125638042.5,44293111.62,782292.1925
2021-01-07 04:00:00,19163024798.0,3627502212.0,37604742.25,105870682.9,7153873.822,791858.8551
2021-01-07 05:00:00,18406447265.0,2069878517.0,14785.33438,71575595.64,14406580.63,799710.1325
2021-01-07 06:00:00,19090402325.0,2170421551.0,45960313.74,142914505.7,89733831.18,792864.6021
2021-01-07 07:00:00,17883319526.0,2870193263.0,67523299.52,110792938.0,5648942.988,799977.7806
2021-01-07 08:00:00,18328823225.0,6667119945.0,42182254.84,61660253.89,4467868.45,784379.2292
2021-01-07 09:00:00,9854884432.0,2540266902.0,57984.2117,77413811.83,45498406.97,795003.5925
2021-01-07 10:00:00,9095645250.0,2276549928.0,139608.5086,56183206.18,45802571.02,795022.0748
2021-01-07 11:00:00,10232352762.0,3576641279.0,35970495.63,39418602.17,8769682.429,791264.5545
2021-01-07 12:00:00,9320810711.0,6740761531.0,14928.35802,42133980.9,4169025.025,788470.0235
2021-01-07 13:00:00,9945246182.0,5833479919.0,15397.27993,49697256.4,3336432.759,792408.3614
2021-01-07 14:00:00,8662066869.0,7056665137.0,35402501.57,63329848.85,3943150.981,784792.475
2021-01-07 15:00:00,9076935925.0,8696586209.0,39318312.78,42992546.18,26081585.64,789050.948
